日期时间 (UTC+8),校准后_Unix时间戳,原始_LAS_GPS时间戳,状态,该秒内点数
2024-02-28 14:54:41,1709103281,393138130.037333,间隔于 1 & 2,79080
2024-02-28 14:54:42,1709103282,393138131.037333,间隔于 1 & 2,88174
2024-02-28 14:54:43,1709103283,393138132.037333,间隔于 1 & 2,103714
2024-02-28 14:54:44,1709103284,393138133.037333,间隔于 1 & 2,123995
2024-02-28 14:54:45,1709103285,393138134.037333,间隔于 1 & 2,129399
2024-02-28 14:54:46,1709103286,393138135.037333,间隔于 1 & 2,125684
2024-02-28 14:54:47,1709103287,393138136.037333,间隔于 1 & 2,124971
2024-02-28 14:54:48,1709103288,393138137.037333,间隔于 1 & 2,124700
2024-02-28 14:54:49,1709103289,393138138.037333,间隔于 1 & 2,120009
2024-02-28 14:54:50,1709103290,393138139.037333,间隔于 1 & 2,116059
2024-02-28 14:54:51,1709103291,393138140.037333,间隔于 1 & 2,129393
2024-02-28 14:54:52,1709103292,393138141.037333,间隔于 1 & 2,130573
2024-02-28 14:54:53,1709103293,393138142.037333,间隔于 1 & 2,114975
2024-02-28 14:54:54,1709103294,393138143.037333,间隔于 1 & 2,109939
2024-02-28 14:54:55,1709103295,393138144.037333,间隔于 1 & 2,102308
2024-02-28 14:54:56,1709103296,393138145.037333,间隔于 1 & 2,128105
2024-02-28 14:54:57,1709103297,393138146.037333,间隔于 1 & 2,136252
2024-02-28 14:54:58,1709103298,393138147.037333,间隔于 1 & 2,151467
2024-02-28 14:54:59,1709103299,393138148.037333,间隔于 1 & 2,161435
2024-02-28 14:55:00,1709103300,393138149.037333,间隔于 1 & 2,153932
2024-02-28 14:55:01,1709103301,393138150.037333,间隔于 1 & 2,142684
2024-02-28 14:55:02,1709103302,393138151.037333,间隔于 1 & 2,143415
2024-02-28 14:55:03,1709103303,393138152.037333,间隔于 1 & 2,140348
2024-02-28 14:55:04,1709103304,393138153.037333,间隔于 1 & 2,127784
2024-02-28 14:55:05,1709103305,393138154.037333,间隔于 1 & 2,122310
2024-02-28 14:55:06,1709103306,393138155.037333,间隔于 1 & 2,123399
2024-02-28 14:55:07,1709103307,393138156.037333,间隔于 1 & 2,128795
2024-02-28 14:55:08,1709103308,393138157.037333,间隔于 1 & 2,139435
2024-02-28 14:55:09,1709103309,393138158.037333,间隔于 1 & 2,137060
2024-02-28 14:55:10,1709103310,393138159.037333,间隔于 1 & 2,127518
2024-02-28 14:55:11,1709103311,393138160.037333,间隔于 1 & 2,127307
2024-02-28 14:55:12,1709103312,393138161.037333,间隔于 1 & 2,122146
2024-02-28 14:55:13,1709103313,393138162.037333,间隔于 1 & 2,0
2024-02-28 14:55:14,1709103314,393138163.037333,间隔于 1 & 2,0
2024-02-28 14:55:15,1709103315,393138164.037333,间隔于 1 & 2,0
2024-02-28 14:55:16,1709103316,393138165.037333,间隔于 1 & 2,0
2024-02-28 14:55:17,1709103317,393138166.037333,间隔于 1 & 2,0
2024-02-28 14:55:18,1709103318,393138167.037333,间隔于 1 & 2,0
2024-02-28 14:55:19,1709103319,393138168.037333,间隔于 1 & 2,0
2024-02-28 14:55:20,1709103320,393138169.037333,间隔于 1 & 2,0
2024-02-28 14:55:21,1709103321,393138170.037333,间隔于 1 & 2,0
2024-02-28 14:55:22,1709103322,393138171.037333,间隔于 1 & 2,0
2024-02-28 14:55:23,1709103323,393138172.037333,间隔于 1 & 2,0
2024-02-28 14:55:24,1709103324,393138173.037333,间隔于 1 & 2,0
2024-02-28 14:55:25,1709103325,393138174.037333,间隔于 1 & 2,0
2024-02-28 14:55:26,1709103326,393138175.037333,间隔于 1 & 2,0
2024-02-28 14:55:27,1709103327,393138176.037333,间隔于 1 & 2,0
2024-02-28 14:55:28,1709103328,393138177.037333,间隔于 1 & 2,0
2024-02-28 14:55:29,1709103329,393138178.037333,间隔于 1 & 2,0
2024-02-28 14:55:30,1709103330,393138179.037333,间隔于 1 & 2,0
2024-02-28 14:55:31,1709103331,393138180.037333,间隔于 1 & 2,0
2024-02-28 14:55:32,1709103332,393138181.037333,间隔于 1 & 2,0
2024-02-28 14:55:33,1709103333,393138182.037333,间隔于 1 & 2,0
2024-02-28 14:55:34,1709103334,393138183.037333,间隔于 1 & 2,0
2024-02-28 14:55:35,1709103335,393138184.037333,间隔于 1 & 2,0
2024-02-28 14:55:36,1709103336,393138185.037333,间隔于 1 & 2,0
2024-02-28 14:55:37,1709103337,393138186.037333,间隔于 1 & 2,0
2024-02-28 14:55:38,1709103338,393138187.037333,间隔于 1 & 2,0
2024-02-28 14:55:39,1709103339,393138188.037333,间隔于 1 & 2,0
2024-02-28 14:55:40,1709103340,393138189.037333,间隔于 1 & 2,0
2024-02-28 14:55:41,1709103341,393138190.037333,间隔于 1 & 2,0
2024-02-28 14:55:42,1709103342,393138191.037333,间隔于 1 & 2,0
2024-02-28 14:55:43,1709103343,393138192.037333,间隔于 1 & 2,0
2024-02-28 14:55:44,1709103344,393138193.037333,间隔于 1 & 2,0
2024-02-28 14:55:45,1709103345,393138194.037333,间隔于 1 & 2,0
2024-02-28 14:55:46,1709103346,393138195.037333,间隔于 1 & 2,0
2024-02-28 14:55:47,1709103347,393138196.037333,间隔于 1 & 2,0
2024-02-28 14:55:48,1709103348,393138197.037333,间隔于 1 & 2,0
2024-02-28 14:55:49,1709103349,393138198.037333,间隔于 1 & 2,0
2024-02-28 14:55:50,1709103350,393138199.037333,间隔于 1 & 2,0
2024-02-28 14:55:51,1709103351,393138200.037333,间隔于 1 & 2,0
2024-02-28 14:55:52,1709103352,393138201.037333,间隔于 1 & 2,0
2024-02-28 14:55:53,1709103353,393138202.037333,间隔于 1 & 2,0
2024-02-28 14:55:54,1709103354,393138203.037333,间隔于 1 & 2,0
2024-02-28 14:55:55,1709103355,393138204.037333,间隔于 1 & 2,0
2024-02-28 14:55:56,1709103356,393138205.037333,间隔于 1 & 2,0
2024-02-28 14:55:57,1709103357,393138206.037333,间隔于 1 & 2,0
2024-02-28 14:55:58,1709103358,393138207.037333,间隔于 1 & 2,0
2024-02-28 14:55:59,1709103359,393138208.037333,间隔于 1 & 2,0
2024-02-28 14:56:00,1709103360,393138209.037333,间隔于 1 & 2,0
2024-02-28 14:56:01,1709103361,393138210.037333,间隔于 1 & 2,0
2024-02-28 14:56:02,1709103362,393138211.037333,间隔于 1 & 2,0
2024-02-28 14:56:03,1709103363,393138212.037333,间隔于 1 & 2,0
2024-02-28 14:56:04,1709103364,393138213.037333,间隔于 1 & 2,0
2024-02-28 14:56:05,1709103365,393138214.037333,间隔于 1 & 2,0
2024-02-28 14:56:06,1709103366,393138215.037333,间隔于 1 & 2,0
2024-02-28 14:56:07,1709103367,393138216.037333,间隔于 1 & 2,0
2024-02-28 14:56:08,1709103368,393138217.037333,间隔于 1 & 2,0
2024-02-28 14:56:09,1709103369,393138218.037333,间隔于 1 & 2,0
2024-02-28 14:56:10,1709103370,393138219.037333,间隔于 1 & 2,0
2024-02-28 14:56:11,1709103371,393138220.037333,间隔于 1 & 2,0
2024-02-28 14:56:12,1709103372,393138221.037333,间隔于 1 & 2,0
2024-02-28 14:56:13,1709103373,393138222.037333,间隔于 1 & 2,0
2024-02-28 14:56:14,1709103374,393138223.037333,间隔于 1 & 2,0
2024-02-28 14:56:15,1709103375,393138224.037333,间隔于 1 & 2,0
2024-02-28 14:56:16,1709103376,393138225.037333,间隔于 1 & 2,0
2024-02-28 14:56:17,1709103377,393138226.037333,间隔于 1 & 2,0
2024-02-28 14:56:18,1709103378,393138227.037333,间隔于 1 & 2,0
2024-02-28 14:56:19,1709103379,393138228.037333,间隔于 1 & 2,0
2024-02-28 14:56:20,1709103380,393138229.037333,间隔于 1 & 2,0
2024-02-28 14:56:21,1709103381,393138230.037333,间隔于 1 & 2,0
2024-02-28 14:56:22,1709103382,393138231.037333,间隔于 1 & 2,0
2024-02-28 14:56:23,1709103383,393138232.037333,间隔于 1 & 2,0
2024-02-28 14:56:24,1709103384,393138233.037333,间隔于 1 & 2,0
2024-02-28 14:56:25,1709103385,393138234.037333,间隔于 1 & 2,0
2024-02-28 14:56:26,1709103386,393138235.037333,间隔于 1 & 2,0
2024-02-28 14:56:27,1709103387,393138236.037333,间隔于 1 & 2,0
2024-02-28 14:56:28,1709103388,393138237.037333,间隔于 1 & 2,0
2024-02-28 14:56:29,1709103389,393138238.037333,间隔于 1 & 2,0
2024-02-28 14:56:30,1709103390,393138239.037333,间隔于 1 & 2,0
2024-02-28 14:56:31,1709103391,393138240.037333,间隔于 1 & 2,0
2024-02-28 14:56:32,1709103392,393138241.037333,间隔于 1 & 2,0
2024-02-28 14:56:33,1709103393,393138242.037333,间隔于 1 & 2,0
2024-02-28 14:56:34,1709103394,393138243.037333,间隔于 1 & 2,0
2024-02-28 14:56:35,1709103395,393138244.037333,间隔于 1 & 2,0
2024-02-28 14:56:36,1709103396,393138245.037333,间隔于 1 & 2,0
2024-02-28 14:56:37,1709103397,393138246.037333,间隔于 1 & 2,0
2024-02-28 14:56:38,1709103398,393138247.037333,间隔于 1 & 2,0
2024-02-28 14:56:39,1709103399,393138248.037333,间隔于 1 & 2,0
2024-02-28 14:56:40,1709103400,393138249.037333,间隔于 1 & 2,0
2024-02-28 14:56:41,1709103401,393138250.037333,间隔于 1 & 2,0
2024-02-28 14:56:42,1709103402,393138251.037333,间隔于 1 & 2,0
2024-02-28 14:56:43,1709103403,393138252.037333,间隔于 1 & 2,0
2024-02-28 14:56:44,1709103404,393138253.037333,间隔于 1 & 2,0
2024-02-28 14:56:45,1709103405,393138254.037333,间隔于 1 & 2,0
2024-02-28 14:56:46,1709103406,393138255.037333,间隔于 1 & 2,0
2024-02-28 14:56:47,1709103407,393138256.037333,间隔于 1 & 2,0
2024-02-28 14:56:48,1709103408,393138257.037333,间隔于 1 & 2,0
2024-02-28 14:56:49,1709103409,393138258.037333,间隔于 1 & 2,0
2024-02-28 14:56:50,1709103410,393138259.037333,间隔于 1 & 2,0
2024-02-28 14:56:51,1709103411,393138260.037333,间隔于 1 & 2,0
